Gmt time,Open,High,Low,Close,Volume
29.09.2010 21:00:00.000,1.36264,1.36843,1.35607,1.36343,81433999755.86
30.09.2010 21:00:00.000,1.36332,1.37928,1.36163,1.37897,81487500000
03.10.2010 21:00:00.000,1.37931,1.38065,1.36637,1.36857,81736900268.56
04.10.2010 21:00:00.000,1.36848,1.38599,1.36358,1.38383,81495899414.06
05.10.2010 21:00:00.000,1.38401,1.39483,1.37985,1.39297,81304399902.34
06.10.2010 21:00:00.000,1.39291,1.40283,1.38546,1.39263,81641700805.66
07.10.2010 21:00:00.000,1.39243,1.39813,1.38342,1.39363,81066100219.73
10.10.2010 21:00:00.000,1.39482,1.40099,1.38647,1.38757,81491900146.48
11.10.2010 21:00:00.000,1.38764,1.39339,1.37736,1.39254,81156099487.31
12.10.2010 21:00:00.000,1.39247,1.40017,1.39094,1.39603,81168900390.63
13.10.2010 21:00:00.000,1.39593,1.41226,1.39533,1.40835,81497199707.03
14.10.2010 21:00:00.000,1.40839,1.41571,1.39376,1.39754,81905099365.24
17.10.2010 21:00:00.000,1.39814,1.39996,1.38286,1.39343,83711199462.89
18.10.2010 21:00:00.000,1.39334,1.39979,1.37117,1.37252,83859100341.8
19.10.2010 21:00:00.000,1.37265,1.39914,1.36974,1.39625,85185800048.83
20.10.2010 21:00:00.000,1.39610,1.40500,1.38729,1.39168,83765699707.03
21.10.2010 21:00:00.000,1.39194,1.39715,1.38576,1.39534,83578899902.34
24.10.2010 21:00:00.000,1.39584,1.40806,1.39319,1.39636,87522898925.78
25.10.2010 21:00:00.000,1.39633,1.39821,1.38225,1.38585,83556000244.14
26.10.2010 21:00:00.000,1.38594,1.38777,1.37334,1.37694,84028700195.31
27.10.2010 21:00:00.000,1.37673,1.39449,1.37621,1.39303,83686201171.88
28.10.2010 21:00:00.000,1.39296,1.39507,1.38046,1.39463,83859300415.04
31.10.2010 21:00:00.000,1.39516,1.40118,1.38630,1.38924,81324800292.97
01.11.2010 21:00:00.000,1.38928,1.40585,1.38800,1.40333,85313399536.13
02.11.2010 21:00:00.000,1.40334,1.41475,1.39894,1.41386,84905999389.65
03.11.2010 21:00:00.000,1.41376,1.42825,1.41013,1.42064,84953200073.24
04.11.2010 21:00:00.000,1.42066,1.42478,1.40215,1.40308,86866999755.86
07.11.2010 22:00:00.000,1.40593,1.40837,1.38863,1.39186,82993699707.03
08.11.2010 22:00:00.000,1.39191,1.39724,1.37502,1.37717,84129999633.79
09.11.2010 22:00:00.000,1.37724,1.38255,1.36698,1.37827,84719299560.55
10.11.2010 22:00:00.000,1.37825,1.38217,1.36352,1.36669,84918400390.63
11.11.2010 22:00:00.000,1.36656,1.37769,1.35720,1.36907,86265199951.17
14.11.2010 22:00:00.000,1.37058,1.37508,1.35642,1.35877,86952599365.24
15.11.2010 22:00:00.000,1.35882,1.36560,1.34472,1.34917,92460100708.01
16.11.2010 22:00:00.000,1.34912,1.35666,1.34612,1.35322,79525599243.16
17.11.2010 22:00:00.000,1.35325,1.36675,1.35248,1.36441,83014799560.55
18.11.2010 22:00:00.000,1.36453,1.37321,1.36094,1.36758,74422500000
21.11.2010 22:00:00.000,1.37172,1.37866,1.35776,1.36287,66482899780.27
22.11.2010 22:00:00.000,1.36287,1.36342,1.33623,1.33689,85985400878.91
23.11.2010 22:00:00.000,1.33699,1.34215,1.32852,1.33359,86744199340.82
24.11.2010 22:00:00.000,1.33358,1.33880,1.32873,1.33610,81358899353.03
25.11.2010 22:00:00.000,1.33611,1.33640,1.32012,1.32429,73541000122.07
