id,pair,mode,ind,p1,p2,p3,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p_adj
628,GBPUSD,Normal,DynETD,100,1.0,150,947,0.12598199744180597,0.4987520057051168,2.4962155e-06,0.12598200458800346,0.0,5.2900032021740984e-05,947,9.45132037629812e-05
629,GBPUSD,Normal,DynETD,100,1.5,150,696,0.3013207168851818,0.5013174547189776,6.94291e-06,0.30132066803253654,0.0,8.881784197001252e-16,696,6.3474130166500325e-15
630,GBPUSD,Normal,DynETD,100,2.0,150,504,0.20066227237962186,0.5024228743416103,5.527701e-06,0.2006622984915726,0.0,3.320875941126289e-06,504,7.206822395795009e-06
631,GBPUSD,Normal,DynETD,100,0.5,200,1139,0.16733358876475302,0.49899928520371695,2.9438227e-06,0.16733359459758723,0.0,8.146811003584276e-09,1139,2.4381611270654745e-08
632,GBPUSD,Normal,DynETD,100,1.5,200,560,0.11774169031243546,0.5013601274353633,2.947915e-06,0.11774168985250673,0.0,0.002665865078838592,560,0.0034370173411464896
633,GBPUSD,Normal,DynETD,100,0.5,250,1078,0.2642748487123339,0.4993755380679269,4.7140784e-06,0.26427485457289074,0.0,0.0,1078,0.0
634,GBPUSD,Normal,DynETD,100,1.5,250,487,0.13685814110990835,0.5005392848253547,3.6647482e-06,0.13685815245129843,0.0,0.0012630550399819196,487,0.001727842620701339
635,GBPUSD,Normal,DynETD,100,0.5,300,1060,0.1474388762480887,0.49846459981329533,2.662177e-06,0.1474388668233991,0.0,7.922920366443265e-07,1060,1.9037973866033235e-06
636,GBPUSD,Normal,DynETD,100,1.5,300,438,0.10853090212163873,0.5003038735885872,3.141832e-06,0.10853091339881617,0.0,0.011561878803991843,438,0.013058307259549371
637,GBPUSD,Normal,DynETD,100,2.0,300,302,0.17634453915127823,0.502770416767044,6.1112105e-06,0.17634451525579745,0.0,0.001090021660158924,302,0.0015085608618893957
638,GBPUSD,Normal,DynETD,100,0.5,350,1046,0.10122584549084207,0.4978186563917718,1.836483e-06,0.1012258423047559,0.0,0.0005304862957606904,1046,0.0007853091771171649
639,GBPUSD,Normal,DynETD,100,1.0,400,634,0.10272883717775876,0.49874830713670126,2.4791998e-06,0.10272886652865007,0.0,0.004845744368179639,634,0.005924958821859764
640,GBPUSD,Normal,DynETD,100,1.5,400,361,0.10769477438903378,0.5015083820216137,3.426616e-06,0.10769476020727924,0.0,0.02036832684715917,361,0.022043528663570434
641,GBPUSD,Normal,DynETD,100,1.5,450,347,0.12887873103630088,0.5009193054136875,4.241046e-06,0.12887875024898165,0.0,0.008180864387984266,347,0.0096334326386917
642,GBPUSD,Normal,DynETD,100,2.0,450,241,0.14742294409744514,0.5031865418843658,5.6694494e-06,0.14742295984117218,0.0,0.01105072672710039,241,0.012566601449610732
643,GBPUSD,Normal,DynETD,150,1.0,100,1035,0.15280723637095533,0.4991588796522551,2.6907296e-06,0.1528071971935298,0.0,4.4159812029320733e-07,1035,1.0960624003684697e-06
644,GBPUSD,Normal,DynETD,150,1.5,100,876,0.16338339986453104,0.4996809837301702,3.1297966e-06,0.16338339387403614,0.0,6.633665958766244e-07,876,1.6127006099170722e-06
645,GBPUSD,Normal,DynETD,150,2.0,100,699,0.10146450336437159,0.4995283280617058,2.1794763e-06,0.10146451041259066,0.0,0.0036528291082078557,699,0.004581233480641924
646,GBPUSD,Normal,DynETD,150,0.5,150,933,0.12984170700089512,0.49893881442304416,2.198171e-06,0.12984171567731556,0.0,3.6541132183542935e-05,933,6.716762434624632e-05
647,GBPUSD,Normal,DynETD,150,1.0,150,798,0.176342687385541,0.4996904187909207,3.2311432e-06,0.176342722664744,0.0,3.154878768230063e-07,798,7.973763716044884e-07
648,GBPUSD,Normal,DynETD,150,1.5,150,643,0.14618177560016163,0.5008337122934667,3.050186e-06,0.1461817806599454,0.0,0.0001049487693125517,643,0.00017611848129575985
649,GBPUSD,Normal,DynETD,150,1.0,250,598,0.11655627435998273,0.49979779125836055,2.3887333e-06,0.11655623490327002,0.0,0.0021841020014026213,598,0.002855868389846645
650,GBPUSD,Normal,DynETD,150,1.5,250,428,0.10984976139855746,0.5011808288955777,2.7545332e-06,0.10984980773965353,0.0,0.011525434523669498,428,0.013034904802349269
651,GBPUSD,Normal,DynETD,150,1.0,350,519,0.10279569766684891,0.5005361281173256,2.2150039e-06,0.10279569939307752,0.0,0.009594274856395857,519,0.01113957122682376
652,GBPUSD,Normal,DynETD,150,1.5,350,341,0.1144009476312737,0.5006422786931025,3.0629406e-06,0.11440091576619066,0.0,0.01731971486560524,341,0.0189420100575023
653,GBPUSD,Normal,DynETD,200,0.5,100,992,0.2897601639786062,0.49815184649843874,4.85822e-06,0.28976015779387787,0.0,0.0,992,0.0
