id,pair,mode,ind,p1,p2,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p3,p_adj
4671,EURJPY,Normal,DynRSI,200,180.0,256,0.18085299826363516,0.5058789434462201,5.696005e-06,0.1808529722901485,5.6466896824939024e-148,0.0019039766145574344,256,3.0,0.0021021918151754846
4672,EURJPY,Normal,DynRSI,200,190.0,426,0.17639320000130396,0.5060078063215898,4.275497e-06,0.1763932230329066,7.938978906288924e-252,0.0001359409275458745,426,2.5,0.00017045149595377486
4673,EURJPY,Normal,DynRSI,200,190.0,231,0.1906597727566054,0.5074049659415513,6.123063e-06,0.19065973094817315,9.0701064946713e-130,0.001879088325086209,231,3.0,0.002075643916442028
4674,EURJPY,Normal,DynRSI,200,200.0,307,0.11955362240123046,0.5041551246537396,3.291621e-06,0.11955364632143717,7.732130473166541e-209,0.018096650647828172,307,2.75,0.018572183073610516
4675,EURJPY,Normal,DynRSI,200,200.0,228,0.1349143113818908,0.5054781963420489,4.311676e-06,0.13491428663060587,1.4782338406296532e-148,0.020816952622204843,228,3.0,0.021297343836563416
4676,EURJPY,Normal,DynRSI,200,260.0,249,0.1809346088960355,0.5053970832064426,5.22996e-06,0.1809346166644924,2.8866498684408746e-150,0.002151163368996789,249,2.75,0.002361161696394022
4677,EURJPY,Normal,DynRSI,200,270.0,233,0.21425829774103392,0.5052055382633895,6.3672246e-06,0.21425830492492418,5.642806392104638e-128,0.000536766676731304,233,2.75,0.0006261288281119027
4678,EURJPY,Normal,DynRSI,200,280.0,227,0.21188268887983583,0.5048758049678013,6.335954e-06,0.21188274153250392,1.2267010199792547e-130,0.0007056368006665981,227,2.75,0.0008127099460322194
4679,EURJPY,Normal,DynRSI,200,290.0,223,0.129773155824792,0.5048635997952169,3.8762787e-06,0.1297731354892855,6.32016351289782e-156,0.0263161148050427,223,2.75,0.026767590110710032
4680,EURJPY,Normal,DynRSI,200,300.0,215,0.2056306423811543,0.5056350559798324,6.208897e-06,0.20563061850556708,4.347967181997345e-127,0.0012843171450614976,215,2.75,0.00144108641882974
4681,EURJPY,Normal,DynRSI,250,10.0,103,0.3070728182218659,0.5205627705627706,5.053868e-05,0.30707276679744033,4.232085728185115e-61,0.0009152191370149776,103,2.75,0.0010427861480089616
4682,EURJPY,Normal,DynRSI,250,110.0,658,0.24320816454814276,0.50514999050693,5.7214247e-06,0.2432082158707587,0.0,2.2067014882054536e-10,658,2.5,5.693382396081285e-10
4683,EURJPY,Normal,DynRSI,250,110.0,510,0.19438427159403612,0.5047487790993798,5.221258e-06,0.19438430058973283,9.231449862460728e-295,5.672341865214925e-06,510,2.75,8.490396730829153e-06
4684,EURJPY,Normal,DynRSI,250,120.0,607,0.11396854189065787,0.5041148279033741,2.7376982e-06,0.11396853918270028,0.0,0.002493401050250088,607,2.5,0.002723646297065635
4685,EURJPY,Normal,DynRSI,250,160.0,575,0.11288168433714874,0.505544643587855,2.4439173e-06,0.11288170390187434,0.0,0.003396674952269585,575,2.25,0.0036604943660380968
4686,EURJPY,Normal,DynRSI,250,160.0,489,0.30950983321937214,0.5064515356809423,7.314897e-06,0.3095098214950883,7.396430597022426e-186,3.842592910530129e-12,489,2.5,1.1978082588293137e-11
4687,EURJPY,Normal,DynRSI,250,160.0,371,0.19695406335947963,0.505508967374671,5.301356e-06,0.19695404323929747,5.562889492810641e-199,7.42385636022247e-05,371,2.75,9.597897490670313e-05
4688,EURJPY,Normal,DynRSI,250,160.0,281,0.12105171103904658,0.506862261669954,3.7576729e-06,0.12105170017922857,1.8952464680421106e-186,0.021219152119920426,281,3.0,0.021695293493066366
